Designator,Mid X,Mid Y,Rotation,Layer
C205,55.3976,58.8392,0,bottom
C206,53.6958,53.556,-90,bottom
C208,56.5406,49.8222,-90,bottom
C209,52.9242,56.0546,90,bottom
C211,53.8894,56.1308,90,bottom
C214,50.343,49.9746,180,bottom
C216,49.5556,54.826,180,bottom
C217,52.756,53.556,-90,bottom
C219,56.2262,57.0198,0,bottom
C220,51.359,52.9464,0,bottom
C221,49.7588,58.3566,135,bottom
C222,55.2706,53.2004,180,bottom
C223,49.5302,52.3876,0,bottom
C225,51.4098,55.7912,0,bottom
C226,51.3844,54.8514,0,bottom
C227,51.3844,53.9116,0,bottom
C228,54.3816,51.5748,180,bottom
C229,55.2706,54.1402,180,bottom
C230,55.7786,60.287,90,bottom
C231,54.8546,56.7404,-90,bottom
C232,51.3336,50.9144,180,bottom
C234,56.2262,51.5842,0,bottom
C302,76.9876,52.1336,-90,bottom
C305,75.5906,58.8138,0,bottom
C306,64.7956,51.8542,180,bottom
C307,72.3902,58.8392,180,bottom
C308,69.647,52.4638,0,bottom
C309,71.5774,51.6002,0,bottom
C310,75.5652,51.4478,0,bottom
C311,65.202,58.8392,180,bottom
C312,66.6752,51.4986,180,bottom
C313,75.8192,56.7818,-90,bottom
C314,74.1428,51.9812,90,bottom
R307,69.9899,54.576732,180,bottom
C201,85.106,58.110246,180,top
C202,65.5322,42.0084,0,top
C203,54.9808,41.4996,0,top
C204,58.6384,44.384,90,top
C207,59.6036,44.384,90,top
C210,43.9168,55.207,180,top
C212,55.1436,46.19,-90,top
C213,43.94315,50.1296,-90,top
C215,61.837,55.8006,0,top
C218,39.47275,51.6256,-90,top
C224,56.1088,46.19,-90,top
C233,85.106,60.525,180,top
C301,80.278654,52.312717,-90,top
C303,79.288054,52.312717,-90,top
C304,79.313454,58.916717,90,top
C315,72.1189,61.002932,0,top
C316,64.7028,49.115732,-90,top
C317,61.8726,53.2004,0,top
C318,69.231,67.9418,-90,top
C319,40.6186,72.2288,180,top
C320,40.6186,73.2194,180,top
C321,40.6186,74.7434,180,top
C322,41.1482,68.5674,90,top
C323,63.5548,72.7596,-90,top
C324,64.9888,75.6668,0,top
C401,14.3835,82.3201,-90,top
C402,18.5168,80.8864,180,top
C403,10.084,83.8328,0,top
C404,38.4811,11.4532,0,top
C405,31.0923,15.6696,180,top
C406,32.9947,8.5576,-90,top
C407,21.3108,38.3373,90,top
C408,31.1151,14.7044,180,top
C409,35.9919,8.5576,-90,top
C410,19.395982,3.9644,180,top
C411,19.5468,21.9434,0,top
C412,12.815,44.0912,0,top
D301,67.6162,73.4734,90,top
D401,19.355,37.7031,90,top
D402,41.07295,48.2474,180,top
J301,78.515,69.6746,90,top
J401,5.585871,52.117515,-90,top
J402,5.098085,75.603534,-90,top
L401,30.2007,8.5576,0,top
Q401,12.9288,85.0012,180,top
R201,60.5942,44.4094,-90,top
R202,55.4634,43.303,-90,top
R203,78.3184,28.1883,180,top
R204,80.833,28.1629,180,top
R205,83.3984,28.1629,180,top
R301,65.6846,49.095732,90,top
R302,66.7094,49.095732,-90,top
R303,74.5345,61.002932,180,top
R304,70.2165,61.049,180,top
R305,61.5848,44.4094,90,top
R306,62.5754,44.4094,-90,top
R308,69.1644,49.111,-90,top
R309,68.1484,49.0856,-90,top
R310,61.8492,58.382,180,top
R311,61.8472,51.4478,0,top
R312,67.6188,75.5816,180,top
R313,69.1436,63.3018,90,top
R314,65.2802,71.2746,0,top
R315,39.1708,73.2194,90,top
R316,69.2056,69.796,90,top
R317,63.6938,68.9344,-90,top
R401,12.3769,82.4725,0,top
R402,15.446422,84.2778,90,top
R403,15.446422,86.2082,-90,top
R404,6.104177,55.583016,0,top
R405,28.324342,53.7358,-90,top
R406,7.7218,56.014816,-90,top
R407,54.153,46.19,-90,top
R408,53.1624,46.19,-90,top
R409,58.09,46.3424,0,top
R410,43.56215,48.5268,180,top
R411,22.3014,38.318,-90,top
R412,38.4812,8.5068,0,top
R413,38.5005,10.488,0,top
R414,38.4679,13.3684,0,top
R415,36.0586,17.1204,90,top
R416,37.0746,17.1204,90,top
R417,20.3202,38.3208,-90,top
R418,38.0906,17.1204,-90,top
R419,38.4811,15.314,180,top
R420,38.4811,14.3488,180,top
R421,36.9765,8.57,90,top
R422,35.0934,17.1204,90,top
R423,38.5005,9.4844,180,top
R424,38.4679,12.4032,0,top
R425,31.1019,12.708,0,top
R426,31.1019,13.6732,0,top
R427,31.0135,9.7768,180,top
R428,31.1019,10.7776,0,top
R429,34.9759,8.5576,-90,top
R430,34.0107,8.5576,-90,top
R431,31.1019,11.7428,0,top
R432,63.7288,25.2838,-90,top
R433,38.495,7.5152,0,top
R434,32.0962,17.1438,90,top
R435,34.0774,17.1438,90,top
R436,33.0868,17.1438,90,top
R437,54.628,44.7516,180,top
U201,52.756,42.6094,-90,top
U202,52.910354,55.178985,0,top
U301,70.793646,55.230717,-90,top
U302,52.3462,73.4988,180,top
U303,65.3492,73.4798,90,top
U401,21.2854,35.3147,90,top
U402,34.7666,12.204,90,top
Y201,41.69615,51.3384,90,top
